Area,Address,City,County,Price
5055,10167 BEACONSFIELD Street,Detroit,Wayne,"$10,005 "
5042,11310 HUBBELL Street,Detroit,Wayne,"$10,005 "
5043,2574 STURTEVANT Street,Detroit,Wayne,"$10,007 "
5032,17631 LENORE,Detroit,Wayne,"$10,010 "
5033,15907 KENTFIELD Street,Detroit,Wayne,"$10,011 "
5055,10335 BRITAIN Street,Detroit,Wayne,"$10,050 "
5054,18436 BELAND Street,Detroit,Wayne,"$10,051 "
5055,10705 MEUSE Street,Detroit,Wayne,"$10,055 "
5092,8650 GRANDVILLE Avenue,Detroit,Wayne,"$10,083 "
5054,16118 NOVARA Street,Detroit,Wayne,"$10,086 "
5034,11860 PIERSON Street,Detroit,Wayne,"$10,086 "
5051,19670 CONLEY Street,Detroit,Wayne,"$10,100 "
5053,1753 FISCHER Street,Detroit,Wayne,"$10,100 "
5032,20031 HEYDEN Street,Detroit,Wayne,"$10,100 "
5054,19724 BARLOW Street,Detroit,Wayne,"$10,100 "
5041,20437 MANOR Street,Detroit,Wayne,"$10,101 "
5042,15351 NORTHLAWN Street,Detroit,Wayne,"$10,123 "
5055,17155 ONTARIO Street,Detroit,Wayne,"$10,125 "
5033,16581 WORMER Street,Detroit,Wayne,"$10,126 "
5032,20518 ASHTON Avenue,Detroit,Wayne,"$10,150 "
5032,19206 PREVOST Street,Detroit,Wayne,"$10,200 "
5042,11726 PINEHURST Street,Detroit,Wayne,"$10,200 "
5041,20464 SANTA BARBARA,Detroit,Wayne,"$10,200 "
5043,16541 MUIRLAND Street,Detroit,Wayne,"$10,200 "
5051,19681 ANGLIN Street,Detroit,Wayne,"$10,200 "
5092,7821 MEMORIAL Avenue,Detroit,Wayne,"$10,206 "
5055,4577 UNIVERSITY PL,Detroit,Wayne,"$10,250 "
5055,5728 OLDTOWN Street,Detroit,Wayne,"$10,255 "
5055,15800 EASTWOOD Street,Detroit,Wayne,"$10,299 "
5055,9232 CAMLEY Street,Detroit,Wayne,"$10,300 "
5032,18491 RUTHERFORD Street,Detroit,Wayne,"$10,300 "
5051,8630 YOLANDA Street,Detroit,Wayne,"$10,313 "
5041,18160 HULL ST. Street,Detroit,Wayne,"$10,500 "
5092,8632 GRANDVILLE Avenue,Detroit,Wayne,"$10,500 "
5042,16886 ILENE Street,Detroit,Wayne,"$10,500 "
5054,16639 FAIRMOUNT,Detroit,Wayne,"$10,500 "
5055,12505 LAING Street,Detroit,Wayne,"$10,500 "
5042,16902 CRUSE Street,Detroit,Wayne,"$10,500 "
5042,15345 MARLOWE Street,Detroit,Wayne,"$10,500 "
