Area,Address,City,County,Price,full_address,latitude,longitude
5066,175 ASHLAND Street,Detroit,Wayne,"$172,500","175 ASHLAND Street, Detroit, Wayne",42.36159370000001,-82.9318807
5053,1070 PARKER Street,Detroit,Wayne,"$172,500","1070 PARKER Street, Detroit, Wayne",42.3548363,-82.9953694
5041,1520 LINCOLNSHIRE Drive,Detroit,Wayne,"$172,500","1520 LINCOLNSHIRE Drive, Detroit, Wayne",42.4326645,-83.1207713
5033,16156 GLASTONBURY Road,Detroit,Wayne,"$173,000","16156 GLASTONBURY Road, Detroit, Wayne",42.4091878,-83.2222213
5033,16515 WARWICK Street,Detroit,Wayne,"$175,000","16515 WARWICK Street, Detroit, Wayne",42.4102448,-83.2293086
5033,19135 Bretton,Detroit,Wayne,"$175,000","19135 Bretton, Detroit, Wayne",42.40788,-83.2292671
5043,1970 EDISON Street,Detroit,Wayne,"$175,000","1970 EDISON Street, Detroit, Wayne",42.3778265,-83.1021523
5033,14820 ARTESIAN Street,Detroit,Wayne,"$175,000","14820 ARTESIAN Street, Detroit, Wayne",42.3963516,-83.2271645
5041,18984 FAIRFIELD Street,Detroit,Wayne,"$175,900","18984 FAIRFIELD Street, Detroit, Wayne",42.4308436,-83.1356309
5041,19640 CANTERBURY Road,Detroit,Wayne,"$178,000","19640 CANTERBURY Road, Detroit, Wayne",42.4369212,-83.1393516
5041,17374 PARKSIDE Street,Detroit,Wayne,"$179,350","17374 PARKSIDE Street, Detroit, Wayne",42.4203605,-83.1314671
5041,18043 WILDEMERE Street,Detroit,Wayne,"$179,900","18043 WILDEMERE Street, Detroit, Wayne",42.4233931,-83.1334454
5041,17537 WILDEMERE Street,Detroit,Wayne,"$179,900","17537 WILDEMERE Street, Detroit, Wayne",42.4215784,-83.1333645
5041,18437 PARKSIDE,Detroit,Wayne,"$180,000","18437 PARKSIDE, Detroit, Wayne",42.427093,-83.1323958
5043,1675 LONGFELLOW Street,Detroit,Wayne,"$180,000","1675 LONGFELLOW Street, Detroit, Wayne",42.3793329,-83.09958499999999
5043,284 ERSKINE Street,Detroit,Wayne,"$180,000","284 ERSKINE Street, Detroit, Wayne",42.34695809999999,-83.05302909999999
5053,1520 SEMINOLE Street,Detroit,Wayne,"$180,000","1520 SEMINOLE Street, Detroit, Wayne",42.3577321,-82.99549069999999
5041,19580 STRATFORD Road,Detroit,Wayne,"$181,001","19580 STRATFORD Road, Detroit, Wayne",42.4375885,-83.1355014
5043,1769 W WARREN Avenue,Detroit,Wayne,"$182,000","1769 W WARREN Avenue, Detroit, Wayne",42.3506856,-83.0823703
5043,2769 S Oakman Blvd Boulevard S,Detroit,Wayne,"$183,340","2769 S Oakman Blvd Boulevard S, Detroit, Wayne",42.3889361,-83.1425199
5043,1806 OAKMAN Boulevard,Detroit,Wayne,"$184,000","1806 OAKMAN Boulevard, Detroit, Wayne",42.3962111,-83.1278236
5041,18044 OAK Drive,Detroit,Wayne,"$185,000","18044 OAK Drive, Detroit, Wayne",42.4233202,-83.13795340000001
5041,18040 WILDEMERE Street,Detroit,Wayne,"$185,000","18040 WILDEMERE Street, Detroit, Wayne",42.4234115,-83.132796
5066,571 N PIPER Court,Detroit,Wayne,"$186,000","571 N PIPER Court, Detroit, Wayne",42.36683430000001,-82.9459799
5053,535 FISKE Drive,Detroit,Wayne,"$186,000","535 FISKE Drive, Detroit, Wayne",42.3567395,-82.98530550000001
5041,19656 RENFREW Road,Detroit,Wayne,"$188,000","19656 RENFREW Road, Detroit, Wayne",42.4383699,-83.1344163
